phase,service_id,source,target,path,valid,route_source,notes
nominal,control_command,ground_station,rover_1,ground_station -> lunar_orbiter -> lander_main_hub -> rover_1,True,nominal_computed,
nominal,science_data,science_station,ground_station,science_station -> lander_main_hub -> lunar_orbiter -> ground_station,True,nominal_computed,
nominal,hd_video,camera_station,ground_station,camera_station -> lander_main_hub -> lunar_orbiter -> ground_station,True,nominal_computed,
nominal,teleoperation,teleop_terminal,rover_2,teleop_terminal -> lander_main_hub -> rover_2,True,nominal_computed,
before_healing,control_command,ground_station,rover_1,ground_station -> lunar_orbiter -> lander_main_hub -> rover_1,False,inherited_nominal,inactive node lander_main_hub
before_healing,science_data,science_station,ground_station,science_station -> lander_main_hub -> lunar_orbiter -> ground_station,False,inherited_nominal,inactive node lander_main_hub
before_healing,hd_video,camera_station,ground_station,camera_station -> lander_main_hub -> lunar_orbiter -> ground_station,False,inherited_nominal,inactive node lander_main_hub
before_healing,teleoperation,teleop_terminal,rover_2,teleop_terminal -> lander_main_hub -> rover_2,False,inherited_nominal,inactive node lander_main_hub
after_healing,control_command,ground_station,rover_1,ground_station -> lunar_orbiter -> relay_backup_1 -> rover_1,True,reroute_backup_path,
after_healing,science_data,science_station,ground_station,science_station -> relay_backup_1 -> lunar_orbiter -> ground_station,True,reroute_backup_path,
after_healing,hd_video,camera_station,ground_station,camera_station -> relay_backup_2 -> lunar_orbiter -> ground_station,True,reroute_backup_path,
after_healing,teleoperation,teleop_terminal,rover_2,teleop_terminal -> relay_backup_2 -> rover_2,True,reroute_backup_path,
