phase,service_id,source,target,path,reachable,demand_mbps,throughput_mbps,end_to_end_delay_ms,packet_loss_rate,availability,success_rate,interruption_s,degraded,route_valid,route_source,failure_reason,notes
nominal,control_command,ground_station,rover_1,ground_station -> lunar_orbiter -> lander_main_hub -> rover_1,True,1.0,0.9965243735580167,1362.0,1.95798859378149e-05,0.9965438857736322,0.9965243735580167,0.0,False,True,nominal_computed,,
nominal,teleoperation,teleop_terminal,rover_2,teleop_terminal -> lander_main_hub -> rover_2,True,4.0,3.992222435043655,24.0,5.33999366314486e-06,0.9980609384000002,0.9980556087609137,0.0,False,True,nominal_computed,,
nominal,science_data,science_station,ground_station,science_station -> lander_main_hub -> lunar_orbiter -> ground_station,True,8.0,7.969772515392939,1370.0,2.31398289067819e-05,0.9962446173541122,0.9962215644241174,0.0,False,True,nominal_computed,,
nominal,hd_video,camera_station,ground_station,camera_station -> lander_main_hub -> lunar_orbiter -> ground_station,True,30.0,29.999199006843725,1374.0,2.6699771875859923e-05,0.9960451050744321,0.9999733002281241,0.0,False,True,nominal_computed,,
before_healing,control_command,ground_station,rover_1,ground_station -> lunar_orbiter -> lander_main_hub -> rover_1,False,1.0,0.0,inf,1.0,0.0,0.0,120.0,False,False,inherited_nominal,inactive node lander_main_hub,unreachable
before_healing,teleoperation,teleop_terminal,rover_2,teleop_terminal -> lander_main_hub -> rover_2,False,4.0,0.0,inf,1.0,0.0,0.0,120.0,False,False,inherited_nominal,inactive node lander_main_hub,unreachable
before_healing,science_data,science_station,ground_station,science_station -> lander_main_hub -> lunar_orbiter -> ground_station,False,8.0,0.0,inf,1.0,0.0,0.0,120.0,False,False,inherited_nominal,inactive node lander_main_hub,unreachable
before_healing,hd_video,camera_station,ground_station,camera_station -> lander_main_hub -> lunar_orbiter -> ground_station,False,30.0,0.0,inf,1.0,0.0,0.0,120.0,False,False,inherited_nominal,inactive node lander_main_hub,unreachable
after_healing,control_command,ground_station,rover_1,ground_station -> lunar_orbiter -> lander_main_hub -> rover_1,False,1.0,0.0,inf,1.0,0.0,0.0,120.0,False,False,healing_verified_inherited,inactive node lander_main_hub,unreachable
after_healing,teleoperation,teleop_terminal,rover_2,teleop_terminal -> lander_main_hub -> rover_2,False,4.0,0.0,inf,1.0,0.0,0.0,120.0,False,False,healing_verified_inherited,inactive node lander_main_hub,unreachable
after_healing,science_data,science_station,ground_station,science_station -> lander_main_hub -> lunar_orbiter -> ground_station,False,8.0,0.0,inf,1.0,0.0,0.0,120.0,False,False,healing_verified_inherited,inactive node lander_main_hub,unreachable
after_healing,hd_video,camera_station,ground_station,camera_station -> lander_main_hub -> lunar_orbiter -> ground_station,False,12.0,0.0,inf,1.0,0.0,0.0,120.0,True,False,healing_verified_inherited,inactive node lander_main_hub,unreachable
