phase,layer,metric,value
nominal,physical,link_availability,0.9985700000000002
nominal,physical,channel_availability,0.9985700000000002
nominal,physical,snr_db,19.800000000000004
nominal,physical,packet_loss_rate,8.276999999999999e-06
nominal,physical,bit_error_rate,8.276999999999999e-07
nominal,physical,antenna_gain_db,22.949999999999992
nominal,physical,rf_health,0.9570000000000004
nominal,physical,ka_channel_availability,0.99878
nominal,physical,ka_configured_channel_availability,0.9983050000000001
nominal,physical,ka_active_path_availability,0.99878
nominal,network,network_connectivity,1.0
nominal,network,end_to_end_delay_ms,1032.5
nominal,network,route_convergence_time_ms,0.0
nominal,network,throughput_mbps,42.95771833083833
nominal,network,congestion_rate,0.002306288257207023
nominal,network,subnet_paralysis_probability,0.0
nominal,network,relay_handover_delay_disturbance_ms,0.0
nominal,network,reachable_service_count,4.0
nominal,network,unreachable_service_count,0.0
nominal,service,control_command_loss_rate,1.95798859378149e-05
nominal,service,video_return_success_rate,0.9999733002281241
nominal,service,science_data_interruption_s,0.0
nominal,service,service_degradation_decision_ms,0.0
nominal,service,resource_contention_resolution_rate,1.0
nominal,service,teleoperation_availability,0.9980609384000002
nominal,physical,rf_lifetime_prediction_error_pct,3.9060287178272883
nominal,physical,dust_gain_loss_quantification_error_pct,3.0000000000000044
nominal,physical,predicted_rf_lifetime_h,76418.73066214785
nominal,physical,reference_rf_lifetime_h,79525.0
nominal,physical,predicted_gain_loss_db,0.97776
nominal,physical,reference_gain_loss_db,1.008
nominal,fault,fault_mode_library_coverage,10.0
nominal,fault,cascading_fault_prediction_accuracy,0.92
nominal,fault,fault_propagation_delay_error_pct,12.0
nominal,fault,propagation_true_positive_count,0.0
nominal,fault,propagation_false_positive_count,0.0
nominal,fault,propagation_false_negative_count,0.0
before_healing,physical,link_availability,0.5489934999999999
before_healing,physical,channel_availability,0.9981699999999999
before_healing,physical,snr_db,19.274999999999995
before_healing,physical,packet_loss_rate,0.1575076896
before_healing,physical,bit_error_rate,0.01575076895999999
before_healing,physical,antenna_gain_db,22.60000000000001
before_healing,physical,rf_health,0.9570000000000004
before_healing,physical,ka_channel_availability,0.0
before_healing,physical,ka_configured_channel_availability,0.7485275
before_healing,physical,ka_active_path_availability,0.0
before_healing,network,network_connectivity,0.9166666666666666
before_healing,network,end_to_end_delay_ms,inf
before_healing,network,route_convergence_time_ms,inf
before_healing,network,throughput_mbps,0.0
before_healing,network,congestion_rate,1.0
before_healing,network,subnet_paralysis_probability,1.0
before_healing,network,relay_handover_delay_disturbance_ms,120.0
before_healing,network,reachable_service_count,0.0
before_healing,network,unreachable_service_count,4.0
before_healing,service,control_command_loss_rate,1.0
before_healing,service,video_return_success_rate,0.0
before_healing,service,science_data_interruption_s,120.0
before_healing,service,service_degradation_decision_ms,inf
before_healing,service,resource_contention_resolution_rate,0.0
before_healing,service,teleoperation_availability,0.0
before_healing,physical,rf_lifetime_prediction_error_pct,3.9060287178272883
before_healing,physical,dust_gain_loss_quantification_error_pct,3.0000000000000044
before_healing,physical,predicted_rf_lifetime_h,76418.73066214785
before_healing,physical,reference_rf_lifetime_h,79525.0
before_healing,physical,predicted_gain_loss_db,0.97776
before_healing,physical,reference_gain_loss_db,1.008
before_healing,fault,fault_mode_library_coverage,10.0
before_healing,fault,cascading_fault_prediction_accuracy,0.92
before_healing,fault,fault_propagation_delay_error_pct,12.0
before_healing,fault,propagation_true_positive_count,0.0
before_healing,fault,propagation_false_positive_count,0.0
before_healing,fault,propagation_false_negative_count,0.0
after_healing,physical,link_availability,0.5489934999999999
after_healing,physical,channel_availability,0.9981699999999999
after_healing,physical,snr_db,19.274999999999995
after_healing,physical,packet_loss_rate,0.1575076896
after_healing,physical,bit_error_rate,0.01575076895999999
after_healing,physical,antenna_gain_db,22.60000000000001
after_healing,physical,rf_health,0.9570000000000004
after_healing,physical,ka_channel_availability,0.9982700000000001
after_healing,physical,ka_configured_channel_availability,0.7485275
after_healing,physical,ka_active_path_availability,0.9982700000000001
after_healing,network,network_connectivity,0.9166666666666666
after_healing,network,end_to_end_delay_ms,1105.5
after_healing,network,route_convergence_time_ms,35.0
after_healing,network,throughput_mbps,16.86162742422693
after_healing,network,congestion_rate,0.2160931554115509
after_healing,network,subnet_paralysis_probability,0.0
after_healing,network,relay_handover_delay_disturbance_ms,35.0
after_healing,network,reachable_service_count,4.0
after_healing,network,unreachable_service_count,0.0
after_healing,service,control_command_loss_rate,9.804126360011267e-06
after_healing,service,video_return_success_rate,0.9999447319008038
after_healing,service,science_data_interruption_s,0.45499999999999996
after_healing,service,service_degradation_decision_ms,120.0
after_healing,service,resource_contention_resolution_rate,1.0
after_healing,service,teleoperation_availability,0.9965429929
after_healing,physical,rf_lifetime_prediction_error_pct,3.9060287178272883
after_healing,physical,dust_gain_loss_quantification_error_pct,3.0000000000000044
after_healing,physical,predicted_rf_lifetime_h,76418.73066214785
after_healing,physical,reference_rf_lifetime_h,79525.0
after_healing,physical,predicted_gain_loss_db,0.97776
after_healing,physical,reference_gain_loss_db,1.008
after_healing,fault,fault_mode_library_coverage,10.0
after_healing,fault,cascading_fault_prediction_accuracy,1.0
after_healing,fault,fault_propagation_delay_error_pct,1.4848667435828018
after_healing,fault,propagation_true_positive_count,9.0
after_healing,fault,propagation_false_positive_count,0.0
after_healing,fault,propagation_false_negative_count,0.0
