count,failed_count,finite_count,max,mean,metric,min,non_finite_count,operator,p50,p95,p99,pass_rate,pass_rate_all,pass_rate_applicable,passed_count,std,threshold
7,,7,8.0,8.0,indicator_pass_count,8.0,0,,8.0,8.0,8.0,,,,,0.0,
7,,7,14.0,14.0,indicator_total_count,14.0,0,,14.0,14.0,14.0,,,,,0.0,
7,,7,9.0,9.0,applicable_indicator_count,9.0,0,,9.0,9.0,9.0,,,,,0.0,
7,,7,5.0,5.0,not_applicable_indicator_count,5.0,0,,5.0,5.0,5.0,,,,,0.0,
7,0,7,0.0,0.0,subnet_paralysis_probability,0.0,0,<=,0.0,0.0,0.0,1.0,1.0,,7,0.0,0.01
7,7,0,nan,nan,route_convergence_time_ms,nan,7,<=,nan,nan,nan,0.0,0.0,,0,0.0,50.0
7,0,7,0.0,0.0,relay_handover_delay_disturbance_ms,0.0,0,<=,0.0,0.0,0.0,1.0,1.0,,7,0.0,50.0
7,0,7,9.87215917989559e-06,6.618798153857748e-06,control_command_loss_rate,4.0985791754089005e-06,0,<=,6.343870109200011e-06,9.48725598902378e-06,9.795178541721228e-06,1.0,1.0,1.0,7,1.94298531270138e-06,1e-05
7,0,7,0.999976712673538,0.9999623933487171,video_return_success_rate,0.9999439085068322,0,>=,0.999963955415756,0.999975619191111,0.9999764939770526,1.0,1.0,1.0,7,1.1039600416636965e-05,0.999
7,0,7,0.0,0.0,science_data_interruption_s,0.0,0,<=,0.0,0.0,0.0,1.0,1.0,,7,0.0,1.0
7,0,7,1.0,1.0,resource_contention_resolution_rate,1.0,0,>=,1.0,1.0,1.0,1.0,1.0,,7,0.0,0.95
7,7,7,0.5,0.5,cascading_fault_prediction_accuracy,0.5,0,>=,0.5,0.5,0.5,0.0,0.0,0.0,0,0.0,0.9
7,0,7,0.5964214711729672,0.5964214711729672,fault_propagation_delay_error_pct,0.5964214711729672,0,<=,0.5964214711729672,0.5964214711729672,0.5964214711729672,1.0,1.0,1.0,7,0.0,15.0
7,0,7,3.9060287178272883,3.9060287178272883,rf_lifetime_prediction_error_pct,3.9060287178272883,0,<=,3.9060287178272883,3.9060287178272883,3.9060287178272883,1.0,1.0,1.0,7,0.0,10.0
7,0,7,3.0000000000000187,2.571428571428573,dust_gain_loss_quantification_error_pct,0.0,0,<=,2.999999999999997,3.000000000000014,3.0000000000000178,1.0,1.0,1.0,7,1.0497813183356484,5.0
7,,7,2.8983600000000003,1.1817371428571428,predicted_gain_loss_db,0.0,0,,0.97776,2.6725440000000003,2.8531968000000005,,,,,0.9751232734042881,
7,,7,2.988,1.2182857142857144,reference_gain_loss_db,0.0,0,,1.008,2.7552000000000003,2.94144,,,,,1.0052817251590598,
7,,7,0.9,0.39285714285714285,parameter_value,0.0,0,,0.35,0.8400000000000001,0.8880000000000001,,,,,0.302877357815917,
7,,7,0.9,0.39285714285714285,dust_level,0.0,0,,0.35,0.8400000000000001,0.8880000000000001,,,,,0.302877357815917,
7,,7,23.65,22.471428571428568,antenna_gain_db,20.95,0,,22.599999999999998,23.56,23.631999999999998,,,,,0.9086320734477508,
7,,7,20.325000000000003,19.146428571428572,snr_db,17.625000000000004,0,,19.275000000000002,20.235000000000003,20.307000000000002,,,,,0.9086320734477508,
7,,7,1.7388675e-05,1.1658214285714286e-05,packet_loss_rate,7.219125e-06,0,,1.1173949999999998e-05,1.6710705e-05,1.7253081e-05,,,,,3.422362704640954e-06,
7,,7,0.99885,0.9985357142857143,ka_active_path_availability,0.9981300000000001,0,,0.99857,0.998826,0.9988452,,,,,0.00024230188625271783,
