count,failed_count,finite_count,max,mean,metric,min,non_finite_count,operator,p50,p95,p99,pass_rate,pass_rate_all,pass_rate_applicable,passed_count,std,threshold
8,,8,14.0,13.375,indicator_pass_count,13.0,0,,13.0,14.0,14.0,,,,,0.4841229182759271,
8,,8,14.0,14.0,indicator_total_count,14.0,0,,14.0,14.0,14.0,,,,,0.0,
8,,8,14.0,14.0,applicable_indicator_count,14.0,0,,14.0,14.0,14.0,,,,,0.0,
8,,8,0.0,0.0,not_applicable_indicator_count,0.0,0,,0.0,0.0,0.0,,,,,0.0,
8,0,8,0.0,0.0,subnet_paralysis_probability,0.0,0,<=,0.0,0.0,0.0,1.0,1.0,1.0,8,0.0,0.01
8,0,8,35.0,35.0,route_convergence_time_ms,35.0,0,<=,35.0,35.0,35.0,1.0,1.0,1.0,8,0.0,50.0
8,5,8,200.0,90.0,relay_handover_delay_disturbance_ms,0.0,0,<=,87.5,182.5,196.5,0.375,0.375,0.375,3,62.09871174187111,50.0
8,0,8,9.804126360011267e-06,9.804126360011267e-06,control_command_loss_rate,9.804126360011267e-06,0,<=,9.804126360011267e-06,9.804126360011267e-06,9.804126360011267e-06,1.0,1.0,1.0,8,0.0,1e-05
8,0,8,0.9999447319008038,0.9999447319008038,video_return_success_rate,0.9999447319008038,0,>=,0.9999447319008038,0.9999447319008038,0.9999447319008038,1.0,1.0,1.0,8,0.0,0.999
8,0,8,0.45499999999999996,0.45499999999999996,science_data_interruption_s,0.45499999999999996,0,<=,0.45499999999999996,0.45499999999999996,0.45499999999999996,1.0,1.0,1.0,8,0.0,1.0
8,0,8,1.0,1.0,resource_contention_resolution_rate,1.0,0,>=,1.0,1.0,1.0,1.0,1.0,1.0,8,0.0,0.95
8,0,8,1.0,1.0,cascading_fault_prediction_accuracy,1.0,0,>=,1.0,1.0,1.0,1.0,1.0,1.0,8,0.0,0.9
8,0,8,1.4848667435828018,1.4848667435828018,fault_propagation_delay_error_pct,1.4848667435828018,0,<=,1.4848667435828018,1.4848667435828018,1.4848667435828018,1.0,1.0,1.0,8,0.0,15.0
8,0,8,3.9060287178272883,3.9060287178272883,rf_lifetime_prediction_error_pct,3.9060287178272883,0,<=,3.9060287178272883,3.9060287178272883,3.9060287178272883,1.0,1.0,1.0,8,0.0,10.0
8,0,8,3.0000000000000044,3.0000000000000044,dust_gain_loss_quantification_error_pct,3.0000000000000044,0,<=,3.0000000000000044,3.0000000000000044,3.0000000000000044,1.0,1.0,1.0,8,0.0,5.0
8,,8,0.97776,0.97776,predicted_gain_loss_db,0.97776,0,,0.97776,0.97776,0.97776,,,,,0.0,
8,,8,1.008,1.008,reference_gain_loss_db,1.008,0,,1.008,1.008,1.008,,,,,0.0,
8,,8,200.0,90.0,parameter_value,0.0,0,,87.5,182.5,196.5,,,,,62.09871174187111,
8,,8,200.0,90.0,relay_handover_extra_delay_ms,0.0,0,,87.5,182.5,196.5,,,,,62.09871174187111,
8,,8,1353.0,1188.0,end_to_end_delay_ms,1053.0,0,,1184.25,1326.75,1347.7499999999998,,,,,93.14806761280666,
